Profundidade [m]	Fração Areia [%]
5019.7232	88.05065727892989
5019.8756	88.23063226556506
5020.028	88.84061977890194
5020.1804	89.26758819589773
5020.3328	89.15849849652815
5020.4852	89.15277566486792
5020.6376	89.43596368358232
5020.79	89.95129050556486
5020.9424	89.89473825817662
5021.0948	89.48866429214688
5021.2472	89.24005569654763
5021.3996	89.23521537946488
5021.552	89.2318729120123
5021.7044	89.03241922230995
5021.8568	88.83760634262619
5022.0092	89.03536659363793
5022.1616	89.2219463056976
5022.314	89.27499605855323
5022.4664	89.6765969429518
5022.6188	90.25980157141518
5022.7712	90.32215050056327
5022.9236	90.23811407080863
5023.076	90.4639090196996
5023.2284	90.9013834822527
5023.3808	91.29989189833421
5023.5332	91.66371822701697
5023.6856	92.21066998887335
5023.838	92.08302374593606
5023.9904	91.76774871210395
5024.1428	92.10201430332444
5024.2952	92.24348072271347
5024.4476	91.96201737407168
5024.6	92.07189080169489
5024.7524	92.056118208265
5024.9048	91.36350504191898
5025.0572	91.09753842264199
5025.2096	91.41719893134714
5025.362	91.66375427905089
5025.5144	92.04272928054544
5025.6668	92.54416322477519
5025.8192	92.75147331268863
5025.9716	92.38977493892757
5026.124	92.36573856680661
5026.2764	92.34406840916844
5026.4288	92.34393867879088
5026.5812	92.25251526899632
5026.7336	91.58347482796827
5026.886	90.69549503662273
5027.0384	90.69308993731771
5027.1908	90.90896338014191
5027.3432	90.83015859695543
5027.4956	90.75134906293965
5027.648	91.24860439202007
5027.8004	91.96089692949445
5027.9528	92.21483658997877
5028.1052	92.15340134975895
5028.2576	91.82332057231707
5028.41	91.62417184916755
5028.5624	91.49770852429708
5028.7148	91.07026810664591
5028.8672	91.03142795524366
5029.0196	91.40099606255312
5029.172	91.54421568870332
5029.3244	91.27943638813794
5029.4768	91.11605722823444
5029.6292	90.7809188172673
5029.7816	90.62829226547768
5029.934	90.61011327267705
5030.0864	90.51374705590437
5030.2388	90.76616144991195
5030.3912	91.22881374817757
5030.5436	91.70935572541343
5030.696	92.03338025142745
5030.8484	92.02114912008632
5031.0008	91.74704780345351
5031.1532	91.427710663347
5031.3056	91.3438361508126
5031.458	91.39212322626473
5031.6104	91.74660416983238
5031.7628	92.04064796285112
5031.9152	91.74996126342978
5032.0676	91.2794849605497
5032.22	90.98482534792115
5032.3724	90.84185651670029
5032.5248	91.13537142231456
5032.6772	91.284560427662
5032.8296	91.14140506081823
5032.982	90.70650720968281
5033.1344	90.84479271503984
5033.2868	91.16861136070563
5033.4392	91.22981082590849
5033.5916	91.11511808933945
5033.744	90.75728456415439
5033.8964	90.78591458596566
5034.0488	91.63847310337441
5034.2012	92.0589000096463
5034.3536	91.66227611658849
5034.506	91.28527676552018
5034.6584	91.42329585794143
5034.8108	91.53752372133334
5034.9632	91.37222727131271
5035.1156	91.15024044900382
5035.268	91.07291788529
5035.4204	91.04476203292509
5035.5728	90.68567633844198
5035.7252	90.43063923803854
5035.8776	90.56535174143299
5036.03	90.81872750601995
5036.1824	91.05299721381628
5036.3348	91.21370840292991
5036.4872	90.94077494008998
5036.6396	90.37555642209125
5036.792	90.55231784320495
5036.9444	90.95655427641609
5037.0968	90.86503275117342
5037.2492	90.76239426038421
5037.4016	90.89872157037071
5037.554	91.67176896775125
5037.7064	91.84206489968112
5037.8588	91.30947843804553
5038.0112	91.28233847832448
5038.1636	91.44109700038506
5038.316	91.6576730013361
5038.4684	91.80336946582304
5038.6208	91.6617112745439
5038.7732	91.16225322225269
5038.9256	90.7640439908499
5039.078	90.53384242390197
5039.2304	90.38647487925347
5039.3828	90.42440414221974
5039.5352	90.8167605177902
5039.6876	91.39839374575438
5039.84	91.49978480332457
5039.9924	91.52885249928732
5040.1448	91.64887379466407
5040.2972	91.52563192900405
5040.4496	91.39787326043572
5040.602	91.50085911111472
5040.7544	91.67961373459606
5040.9068	91.90757623894366
5041.0592	92.11750575929585
5041.2116	91.93169357107396
5041.364	91.69993263838553
5041.5164	91.80030462161687
5041.6688	91.75376160081008
5041.8212	91.44322482413668
5041.9736	91.43106072550131
5042.126	91.71836840859437
5042.2784	91.672742146455
5042.4308	91.55070151609948
5042.5832	91.35995499126493
5042.7356	91.27394729671916
5042.888	91.79218632912396
5043.0404	92.22007966553613
5043.1928	92.23627747207325
5043.3452	91.92609824938718
5043.4976	91.90280099408001
5043.65	91.86329761282738
5043.8024	91.59354193681366
5043.9548	91.40731348422493
5044.1072	91.48102162022806
5044.2596	91.0997714130968
5044.412	90.72767168639737
5044.5644	91.4390295088148
5044.7168	92.17791220806959
5044.8692	92.56189090749464
5045.0216	92.45907157258357
5045.174	91.86342908316956
5045.3264	91.48273654153817
5045.4788	91.0415725523334
5045.6312	90.77595931032221
5045.7836	90.4418027378351
5045.936	90.3818865215876
5046.0884	90.56547549877192
5046.2408	90.45477512642996
5046.3932	89.9954783783961
5046.5456	90.02495925172833
5046.698	90.4882719356529
5046.8504	90.69358330345551
5047.0028	91.14568286843891
5047.1552	91.3211730911309
5047.3076	90.8365240911929
5047.46	90.57558511514279
5047.6124	90.57563460482744
5047.7648	90.7267351278742
5047.9172	90.74028832274847
5048.0696	91.00497798746349
5048.222	91.25448606779266
5048.3744	90.98507013218249
5048.5268	90.64043558593711
5048.6792	90.6865892391519
5048.8316	90.9793784853453
5048.984	91.17859705356817
5049.1364	90.99142172579724
5049.2888	90.57405090301603
