TVD "Dry density"
4615.406 2.1700410000000003
4615.5584 2.2063230000000003
4615.7108 2.237438
4615.8632 2.2295439999999997
4616.0156 2.216215
4616.168 2.177663
4616.3204 2.145539
4616.4728 2.175217
4616.6252 2.212387
4616.7776 2.253384
4616.93 2.2515449999999997
4617.0824 2.200209
4617.2348 2.172863
4617.3872 2.166298
4617.5396 2.173732
4617.692 2.182215
4617.8444 2.186262
4617.9968 2.172597
4618.1492 2.1510260000000003
4618.3016 2.16127
4618.454 2.144864
4618.6064 2.1506339999999997
4618.7588 2.1433
4618.9112 2.141253
4619.0636 2.129204
4619.216 2.139831
4619.3684 2.170487
4619.5208 2.163548
4619.6732 2.1660739999999996
4619.8256 2.1564039999999998
4619.978 2.135454
4620.1304 2.1439429999999997
4620.2828 2.1118289999999997
4620.4352 2.1150320000000002
4620.5876 2.127739
4620.74 2.136726
4620.8924 2.151684
4621.0448 2.150794
4621.1972 2.1622399999999997
4621.3496 2.173082
4621.502 2.175317
4621.6544 2.1546060000000002
4621.8068 2.156664
4621.9592 2.150817
4622.1116 2.1583200000000002
4622.264 2.154799
4622.4164 2.1619469999999996
4622.5688 2.167634
4622.7212 2.177383
4622.8736 2.162173
4623.026 2.163864
4623.1784 2.157596
4623.3308 2.1346
4623.4832 2.124281
4623.6356 2.138654
4623.788 2.148205
4623.9404 2.1632309999999997
4624.0928 2.166925
4624.2452 2.169161
4624.3976 2.16853
4624.55 2.1638539999999997
4624.7024 2.1638789999999997
4624.8548 2.17868
4625.0072 2.17893
4625.1596 2.1738020000000002
4625.312 2.157965
4625.4644 2.159761
4625.6168 2.160347
4625.7692 2.150933
4625.9216 2.15517
4626.074 2.161004
4626.2264 2.165658
4626.3788 2.1710510000000003
4626.5312 2.176529
4626.6836 2.178845
4626.836 2.162803
4626.9884 2.151808
4627.1408 2.155417
4627.2932 2.183767
4627.4456 2.198222
4627.598 2.196242
4627.7504 2.197162
4627.9028 2.173724
4628.0552 2.1539610000000002
4628.2076 2.129916
4628.36 2.119512
4628.5124 2.123949
4628.6648 2.110266
4628.8172 2.132117
4628.9696 2.143625
4629.122 2.142519
4629.2744 2.124437
4629.4268 2.110929
4629.5792 2.110055
4629.7316 2.1055289999999998
4629.884 2.119863
4630.0364 2.1347959999999997
4630.1888 2.141742
4630.3412 2.1577189999999997
4630.4936 2.1667490000000003
4630.646 2.170909
4630.7984 2.150036
4630.9508 2.1472819999999997
4631.1032 2.139687
4631.2556 2.139898
4631.408 2.139112
4631.5604 2.118933
4631.7128 2.145617
4631.8652 2.163714
4632.0176 2.1758
4632.17 2.180031
4632.3224 2.195839
4632.4748 2.1979990000000003
4632.6272 2.1917180000000003
4632.7796 2.184536
4632.932 2.16845
4633.0844 2.159647
4633.2368 2.149931
4633.3892 2.135868
4633.5416 2.129073
4633.694 2.1273030000000004
4633.8464 2.127049
4633.9988 2.1361399999999997
4634.1512 2.138947
4634.3036 2.142842
4634.456 2.1543050000000004
4634.6084 2.166086
4634.7608 2.1556740000000003
4634.9132 2.150446
4635.0656 2.1401850000000002
4635.218 2.142198
4635.3704 2.147754
4635.5228 2.143718
4635.6752 2.126758
4635.8276 2.117778
4635.98 2.1469940000000003
4636.1324 2.18145
4636.2848 2.215952
4636.4372 2.225549
4636.5896 2.22414
4636.742 2.212304
4636.8944 2.186223
4637.0468 2.164279
4637.1992 2.14339
4637.3516 2.1371759999999997
4637.504 2.138018
4637.6564 2.150766
4637.8088 2.169996
4637.9612 2.193854
4638.1136 2.196587
4638.266 2.196098
4638.4184 2.187112
4638.5708 2.182491
4638.7232 2.1878930000000003
4638.8756 2.178241
4639.028 2.169303
4639.1804 2.1534560000000003
4639.3328 2.174522
4639.4852 2.190093
4639.6376 2.205223
4639.79 2.215437
4639.9424 2.22162
4640.0948 2.21304
4640.2472 2.1831430000000003
4640.3996 2.175341
4640.552 2.1709870000000002
4640.7044 2.175519
4640.8568 2.154235
4641.0092 2.153108
4641.1616 2.135125
4641.314 2.147576
4641.4664 2.187617
4641.6188 2.211129
4641.7712 2.201156
4641.9236 2.180139
4642.076 2.169765
4642.2284 2.154057
4642.3808 2.144783
4642.5332 2.15346
4642.6856 2.146374
4642.838 2.1564360000000002
4642.9904 2.16273
4643.1428 2.132955
4643.2952 2.127512
4643.4476 2.102823
4643.6 2.108134
4643.7524 2.147572
4643.9048 2.1572060000000004
4644.0572 2.178402
4644.2096 2.1934929999999997
4644.362 2.1792789999999997
4644.5144 2.163129
4644.6668 2.13699
4644.8192 2.130918
4644.9716 2.142061
4645.124 2.1617349999999997
4645.2764 2.1883250000000003
4645.4288 2.186814
4645.5812 2.1710879999999997
4645.7336 2.144006
4645.886 2.136416
4646.0384 2.167142
4646.1908 2.162799
4646.3432 2.1638390000000003
4646.4956 2.177792
4646.648 2.185664
4646.8004 2.162203
4646.9528 2.162527
4647.1052 2.152956
4647.2576 2.158477
4647.41 2.163014
4647.5624 2.167983
4647.7148 2.191843
4647.8672 2.205899
4648.0196 2.1900009999999996
4648.172 2.1629660000000004
4648.3244 2.1463289999999997
4648.4768 2.138407
4648.6292 2.129499
4648.7816 2.135584
4648.934 2.144796
4649.0864 2.16207
4649.2388 2.187437
4649.3912 2.186705
4649.5436 2.16186
4649.696 2.140635
4649.8484 2.1294959999999996
4650.0008 2.1049800000000003
4650.1532 2.128013
4650.3056 2.162425
4650.458 2.175357
4650.6104 2.17542
4650.7628 2.1535469999999997
4650.9152 2.144074
4651.0676 2.142121
4651.22 2.1333450000000003
4651.3724 2.1122360000000002
4651.5248 2.124783
4651.6772 2.1108409999999997
4651.8296 2.125223
4651.982 2.150711
4652.1344 2.178505
4652.2868 2.155085
4652.4392 2.127812
4652.5916 2.12591
4652.744 2.124791
4652.8964 2.131368
4653.0488 2.134605
4653.2012 2.143716
4653.3536 2.140907
4653.506 2.120248
4653.6584 2.139603
4653.8108 2.1476990000000002
4653.9632 2.169201
4654.1156 2.2016590000000003
4654.268 2.215469
4654.4204 2.2024269999999997
4654.5728 2.1511250000000004
4654.7252 2.13128
4654.8776 2.093379
4655.03 2.089442
4655.1824 2.111898
4655.3348 2.0983300000000003
4655.4872 2.130799
4655.6396 2.143754
4655.792 2.192588
4655.9444 2.2306880000000002
4656.0968 2.2435940000000003
4656.2492 2.22058
4656.4016 2.162835
4656.554 2.139967
4656.7064 2.122433
4656.8588 2.112645
4657.0112 2.107333
4657.1636 2.100102
4657.316 2.119374
4657.4684 2.140649
4657.6208 2.151682
4657.7732 2.183602
4657.9256 2.207681
4658.078 2.194544
4658.2304 2.167372
4658.3828 2.136692
4658.5352 2.137057
4658.6876 2.125489
4658.84 2.13129
4658.9924 2.145191
4659.1448 2.1569149999999997
4659.2972 2.171492
4659.4496 2.1698809999999997
4659.602 2.176627
4659.7544 2.184456
4659.9068 2.193718
4660.0592 2.172575
4660.2116 2.12573
4660.364 2.116414
4660.5164 2.107148
4660.6688 2.110448
4660.8212 2.1280740000000002
4660.9736 2.159951
4661.126 2.179715
4661.2784 2.211429
4661.4308 2.230345
4661.5832 2.22853
4661.7356 2.195287
4661.888 2.127719
4662.0404 2.120992
4662.1928 2.1195649999999997
4662.3452 2.12499
4662.4976 2.1051140000000004
4662.65 2.1106130000000003
4662.8024 2.132796
4662.9548 2.148858
4663.1072 2.1862190000000004
4663.2596 2.207273
4663.412 2.18395
4663.5644 2.182276
4663.7168 2.1202
4663.8692 2.084279
4664.0216 2.090643
4664.174 2.121247
4664.3264 2.133579
4664.4788 2.140333
4664.6312 2.16947
4664.7836 2.203001
4664.936 2.22004
4665.0884 2.209822
4665.2408 2.1799359999999997
4665.3932 2.161099
4665.5456 2.147456
4665.698 2.1424279999999998
4665.8504 2.150559
4666.0028 2.165003
4666.1552 2.1928539999999996
4666.3076 2.1817930000000003
4666.46 2.152052
4666.6124 2.151487
4666.7648 2.154033
4666.9172 2.173007
4667.0696 2.17116
4667.222 2.154113
4667.3744 2.153163
4667.5268 2.15158
4667.6792 2.169887
4667.8316 2.2250590000000003
4667.984 2.228837
4668.1364 2.2044129999999997
4668.2888 2.17372
4668.4412 2.153217
4668.5936 2.136946
4668.746 2.1539889999999997
4668.8984 2.1921480000000004
4669.0508 2.218361
4669.2032 2.2397039999999997
4669.3556 2.2124629999999996
4669.508 2.174222
4669.6604 2.1440420000000002
4669.8128 2.125122
4669.9652 2.12768
4670.1176 2.138936
4670.27 2.136549
4670.4224 2.1456920000000004
4670.5748 2.124866
4670.7272 2.12464
4670.8796 2.132288
4671.032 2.1325700000000003
4671.1844 2.162501
4671.3368 2.1805399999999997
4671.4892 2.1585650000000003
4671.6416 2.143772
4671.794 2.148951
4671.9464 2.191425
4672.0988 2.21337
4672.2512 2.224557
4672.4036 2.214771
4672.556 2.199934
4672.7084 2.169209
4672.8608 2.1708499999999997
4673.0132 2.1850359999999998
4673.1656 2.183587
4673.318 2.1842330000000003
4673.4704 2.206194
4673.6228 2.216392
4673.7752 2.2210829999999997
4673.9276 2.1997619999999998
4674.08 2.17233
4674.2324 2.141723
4674.3848 2.1324170000000002
