Profundidade [m]	Densidade Aparente Seca [g/cm³]
5044.7168	2.360105
5044.8692	2.368417
5045.0216	2.35847
5045.174	2.32921
5045.3264	2.323121
5045.4788	2.3344940000000003
5045.6312	2.3225010000000004
5045.7836	2.3245380000000004
5045.936	2.3380769999999997
5046.0884	2.3407020000000003
5046.2408	2.3391629999999997
5046.3932	2.3182639999999997
5046.5456	2.3062620000000003
5046.698	2.310936
5046.8504	2.318524
5047.0028	2.3132270000000004
5047.1552	2.315139
5047.3076	2.313405
5047.46	2.30706
5047.6124	2.314159
5047.7648	2.339309
5047.9172	2.340375
5048.0696	2.337081
5048.222	2.337663
5048.3744	2.332372
5048.5268	2.336319
5048.6792	2.343748
5048.8316	2.3554969999999997
5048.984	2.349364
5049.1364	2.334478
5049.2888	2.329505
5049.4412	2.3201490000000002
5049.5936	2.319536
5049.746	2.329791
5049.8984	2.337444
5050.0508	2.337182
5050.2032	2.31692
5050.3556	2.324053
5050.508	2.345256
5050.6604	2.3559
5050.8128	2.357108
5050.9652	2.351884
5051.1176	2.338092
5051.27	2.3542140000000003
5051.4224	2.365298
5051.5748	2.360612
5051.7272	2.358093
5051.8796	2.3695720000000002
5052.032	2.353805
5052.1844	2.339709
5052.3368	2.342808
5052.4892	2.347638
5052.6416	2.3498390000000002
5052.794	2.355428
5052.9464	2.363867
5053.0988	2.3720969999999997
5053.2512	2.353575
5053.4036	2.332133
5053.556	2.341481
5053.7084	2.36029
5053.8608	2.36314
5054.0132	2.362367
5054.1656	2.3571429999999998
5054.318	2.322361
5054.4704	2.309371
5054.6228	2.3145480000000003
5054.7752	2.33506
5054.9276	2.359328
5055.08	2.382587
5055.2324	2.3776029999999997
5055.3848	2.348657
5055.5372	2.346732
5055.6896	2.358986
5055.842	2.368507
5055.9944	2.347274
5056.1468	2.3507809999999996
5056.2992	2.346191
5056.4516	2.349954
5056.604	2.3656610000000002
5056.7564	2.362363
5056.9088	2.3564230000000004
5057.0612	2.361654
5057.2136	2.356445
5057.366	2.349827
5057.5184	2.33684
5057.6708	2.339695
5057.8232	2.362243
5057.9756	2.3740170000000003
5058.128	2.378659
5058.2804	2.3570650000000004
5058.4328	2.345017
5058.5852	2.3401549999999998
5058.7376	2.3283009999999997
5058.89	2.323044
5059.0424	2.338095
5059.1948	2.34547
5059.3472	2.3602749999999997
5059.4996	2.359946
5059.652	2.359361
5059.8044	2.3553
5059.9568	2.358705
5060.1092	2.35328
5060.2616	2.343153
5060.414	2.330412
5060.5664	2.340001
5060.7188	2.344605
5060.8712	2.346625
5061.0236	2.3569479999999996
5061.176	2.349389
5061.3284	2.3421849999999997
5061.4808	2.3558770000000004
5061.6332	2.3650390000000003
5061.7856	2.360365
5061.938	2.376162
5062.0904	2.3820230000000002
5062.2428	2.381291
5062.3952	2.361173
5062.5476	2.3532990000000003
5062.7	2.360727
5062.8524	2.351031
5063.0048	2.341972
5063.1572	2.3449180000000003
5063.3096	2.3421790000000002
5063.462	2.355588
5063.6144	2.363021
5063.7668	2.36882
5063.9192	2.374529
5064.0716	2.371959
5064.224	2.35717
5064.3764	2.340675
5064.5288	2.334419
5064.6812	2.331116
5064.8336	2.3468910000000003
5064.986	2.353134
5065.1384	2.3393919999999997
5065.2908	2.333888
5065.4432	2.3076119999999998
5065.5956	2.30241
5065.748	2.317698
5065.9004	2.328933
5066.0528	2.343249
5066.2052	2.3493589999999998
5066.3576	2.390032
5066.51	2.431776
5066.6624	2.422687
5066.8148	2.376836
5066.9672	2.35285
5067.1196	2.34891
5067.272	2.338088
5067.4244	2.3371619999999997
5067.5768	2.344094
5067.7292	2.358436
5067.8816	2.359751
5068.034	2.3553450000000002
5068.1864	2.33966
5068.3388	2.333272
5068.4912	2.3294680000000003
5068.6436	2.337139
5068.796	2.348149
5068.9484	2.330419
5069.1008	2.327681
5069.2532	2.337229
5069.4056	2.329499
5069.558	2.321071
5069.7104	2.3243489999999998
5069.8628	2.332534
5070.0152	2.340452
5070.1676	2.333582
5070.32	2.326216
5070.4724	2.3198930000000004
5070.6248	2.3325229999999997
5070.7772	2.349628
5070.9296	2.366005
5071.082	2.370283
