Profundidade COT IH IO OF_class
5303.9816 1.822092 288.653595 125.125857 1
5304.4816 1.953597 285.337268 126.459841 1
5304.9816 2.009067 282.049121 128.253852 1
5305.4816 2.044872 282.438111 127.861728 1
5305.9816 1.371657 317.483623 113.529059 1
5306.4816 1.23439 328.95408 108.9151 2
5306.9816 1.237679 328.194372 109.220691 1
5307.4816 1.558931 303.750314 119.053245 1
5307.9816 1.210591 331.651657 107.830008 1
5308.4816 1.763946 293.62939 123.124358 1
5308.9816 0.875698 376.497455 89.790911 1
5309.4816 1.102762 344.599816 102.621647 1
5309.9816 1.065765 348.127618 101.202599 1
5310.4816 1.132824 339.564972 104.646899 1
5310.9816 0.974205 356.915194 97.667821 1
5311.4816 1.649337 299.060639 120.939653 1
5311.9816 1.644595 300.167155 120.49456 1
5312.4816 1.145522 339.29545 104.755314 1
5312.9816 0.97462 362.841908 95.283817 1
5313.4816 2.031105 285.2333 126.501661 1
5313.9816 1.994294 285.403074 126.43337 1
5314.4816 1.008917 352.278124 99.533069 1
5314.9816 1.072582 344.076299 102.83223 1
5315.4816 1.34191 319.081317 112.886392 1
5315.9816 1.432377 311.757085 115.832543 1
5316.4816 1.664043 296.812767 121.843853 1
5316.9816 1.615327 300.18854 120.485958 1
5317.4816 1.146917 336.22502 105.990385 1
5317.9816 1.594285 303.329433 119.222543 1
5318.4816 1.753263 292.756382 123.475523 1
5318.9816 1.160075 337.1144 105.632635 1
5319.4816 1.28743 323.50598 111.106583 1
5319.9816 1.279351 324.732993 110.613021 1
5320.4816 0.870458 376.239602 89.894632 1
5320.9816 0.64238 435.260737 66.153546 1
5321.4816 0.433044 537.160899 25.164492 0
5321.9816 0.678777 422.424684 71.316813 1
5322.4816 0.475032 510.512847 35.883596 0
5322.9816 0.460131 523.371137 30.711385 0
5323.4816 0.667314 425.973028 69.889501 1
5323.9816 1.107019 335.122947 106.433691 1
5324.4816 0.569043 457.190515 57.332354 2
5324.9816 0.942973 365.454119 94.233062 1
5325.4816 0.83525 383.625815 86.923548 1
5325.9816 0.841265 378.809441 88.860922 1
5326.4816 0.568141 461.511991 55.594053 1
5326.9816 0.942413 364.094469 94.779978 1
5327.4816 0.661848 422.463517 71.301192 1
5327.9816 1.150001 337.880953 105.324291 1
5328.4816 1.218913 333.194969 107.209215 1
5328.9816 1.784899 293.372904 123.227529 1
5329.4816 0.73832 408.045975 77.100608 1
5329.9816 0.529687 481.517492 47.546897 1
5330.4816 1.090439 344.850439 102.520835 2
5330.9816 0.822288 386.458915 85.783942 1
5331.4816 0.946466 359.423497 96.658863 1
5331.9816 0.670669 426.939025 69.500931 1
5332.4816 0.97351 361.598043 95.784158 1
5332.9816 0.800365 393.279647 83.040322 1
5333.4816 0.540572 480.080133 48.12507 1
5333.9816 0.567763 471.840274 51.43953 1
5334.4816 0.680911 428.226511 68.983044 1
5334.9816 1.208168 360.004043 96.42534 1
5335.4816 0.575491 484.201929 46.467089 1
5335.9816 0.531731 492.300348 43.209523 1
5336.4816 0.643937 434.606901 66.41655 1
5336.9816 0.894364 374.072855 90.7662 1
5337.4816 0.908978 362.28307 95.508608 1
5337.9816 0.655448 420.362363 72.146375 1
5338.4816 1.801642 283.616716 127.151928 1
5338.9816 1.815506 282.534588 127.587211 1
5339.4816 1.691367 288.433304 125.214469 1
5339.9816 1.688372 288.706264 125.104671 1
5340.4816 1.135482 337.465149 105.491547 1
5340.9816 0.514863 478.705567 48.677985 1
5341.4816 0.521424 482.141955 47.295708 1
