Profundidade [m]	Densidade Aparente Seca [g/cm³]
5379.9968	2.5030699999999997
5380.1492	2.539113
5380.3016	2.546189
5380.454	2.540596
5380.6064	2.5385340000000003
5380.7588	2.542237
5380.9112	2.53827
5381.0636	2.539142
5381.216	2.5456749999999997
5381.3684	2.5436949999999996
5381.5208	2.537065
5381.6732	2.521057
5381.8256	2.483289
5381.978	2.391666
5382.1304	2.342209
5382.2828	2.357278
5382.4352	2.411155
5382.5876	2.46291
5382.74	2.4111770000000003
5382.8924	2.329759
5383.0448	2.26424
5383.1972	2.277851
5383.3496	2.4148250000000004
5383.502	2.4846190000000004
5383.6544	2.496198
5383.8068	2.469501
5383.9592	2.422775
5384.1116	2.422441
5384.264	2.473112
5384.4164	2.49798
5384.5688	2.527914
5384.7212	2.550916
5384.8736	2.568549
5385.026	2.5744399999999996
5385.1784	2.5810980000000003
5385.3308	2.577973
5385.4832	2.560806
5385.6356	2.561693
5385.788	2.502802
5385.9404	2.3552939999999998
5386.0928	2.315796
5386.2452	2.3326949999999997
5386.3976	2.302504
5386.55	2.2635009999999998
5386.7024	2.2637169999999998
5386.8548	2.262385
5387.0072	2.266984
5387.1596	2.30216
5387.312	2.314714
5387.4644	2.326193
5387.6168	2.3720489999999996
5387.7692	2.429828
5387.9216	2.462288
5388.074	2.47005
5388.2264	2.4838199999999997
5388.3788	2.557435
5388.5312	2.567493
5388.6836	2.511393
5388.836	2.5001979999999997
5388.9884	2.5084139999999997
5389.1408	2.5125450000000003
5389.2932	2.51493
5389.4456	2.508376
5389.598	2.513937
5389.7504	2.5262379999999998
5389.9028	2.52849
5390.0552	2.5498459999999996
5390.2076	2.5480080000000003
5390.36	2.495412
5390.5124	2.4497389999999997
5390.6648	2.446732
5390.8172	2.487549
5390.9696	2.553321
5391.122	2.5936280000000003
5391.2744	2.5964169999999998
5391.4268	2.585632
5391.5792	2.5927230000000003
5391.7316	2.602046
5391.884	2.590918
5392.0364	2.5855550000000003
5392.1888	2.584184
5392.3412	2.559637
5392.4936	2.5203029999999997
5392.646	2.462627
5392.7984	2.447699
5392.9508	2.479101
5393.1032	2.5267980000000003
5393.2556	2.598785
5393.408	2.591063
5393.5604	2.507914
5393.7128	2.42456
5393.8652	2.365726
5394.0176	2.4058360000000003
5394.17	2.4779400000000003
5394.3224	2.520465
5394.4748	2.5329230000000003
5394.6272	2.5300019999999996
5394.7796	2.533384
5394.932	2.548182
5395.0844	2.528569
5395.2368	2.480425
5395.3892	2.379075
5395.5416	2.328337
5395.694	2.316102
5395.8464	2.30967
5395.9988	2.279606
5396.1512	2.255728
5396.3036	2.3116120000000002
5396.456	2.49222
5396.6084	2.553926
5396.7608	2.571337
5396.9132	2.564886
5397.0656	2.541751
5397.218	2.524303
5397.3704	2.4792359999999998
5397.5228	2.401309
5397.6752	2.316006
5397.8276	2.3234380000000003
5397.98	2.398923
5398.1324	2.446052
5398.2848	2.50188
5398.4372	2.524066
5398.5896	2.523021
5398.742	2.5193190000000003
5398.8944	2.522218
5399.0468	2.495451
5399.1992	2.449315
5399.3516	2.383556
5399.504	2.388379
5399.6564	2.4375240000000002
5399.8088	2.487782
5399.9612	2.547258
5400.1136	2.552207
5400.266	2.494359
5400.4184	2.415556
5400.5708	2.267572
5400.7232	2.1622179999999998
5400.8756	2.100419
5401.028	2.129113
5401.1804	2.277487
5401.3328	2.386881
5401.4852	2.5383590000000003
5401.6376	2.5969249999999997
5401.79	2.619707
5401.9424	2.614894
5402.0948	2.60279
5402.2472	2.579427
5402.3996	2.566654
5402.552	2.572479
5402.7044	2.574645
5402.8568	2.5634379999999997
5403.0092	2.535368
5403.1616	2.476673
5403.314	2.467758
5403.4664	2.47867
5403.6188	2.46852
5403.7712	2.411517
5403.9236	2.376877
5404.076	2.3717889999999997
5404.2284	2.348026
5404.3808	2.2929
5404.5332	2.275333
5404.6856	2.343479
5404.838	2.42722
5404.9904	2.49128
5405.1428	2.4123330000000003
5405.2952	2.3833390000000003
5405.4476	2.426549
5405.6	2.411677
5405.7524	2.320325
5405.9048	2.301928
5406.0572	2.329694
5406.2096	2.3810409999999997
5406.362	2.438507
5406.5144	2.4386
5406.6668	2.382329
5406.8192	2.365367
5406.9716	2.408349
5407.124	2.466357
5407.2764	2.5287290000000002
5407.4288	2.524957
5407.5812	2.460523
5407.7336	2.4389399999999997
5407.886	2.511177
5408.0384	2.523833
5408.1908	2.408862
5408.3432	2.3023830000000003
5408.4956	2.245455
5408.648	2.254865
5408.8004	2.272436
5408.9528	2.309448
5409.1052	2.3444920000000002
5409.2576	2.412212
5409.41	2.4414059999999997
5409.5624	2.415477
5409.7148	2.354108
5409.8672	2.292543
5410.0196	2.2817109999999996
5410.172	2.3088290000000002
5410.3244	2.34663
5410.4768	2.400011
5410.6292	2.426287
5410.7816	2.387187
5410.934	2.364568
5411.0864	2.3738270000000004
5411.2388	2.35185
5411.3912	2.300458
5411.5436	2.29325
5411.696	2.309387
5411.8484	2.392398
5412.0008	2.453852
5412.1532	2.514306
5412.3056	2.508824
5412.458	2.4168380000000003
5412.6104	2.3409410000000004
5412.7628	2.31328
5412.9152	2.375814
5413.0676	2.485043
5413.22	2.545753
5413.3724	2.574374
5413.5248	2.5783899999999997
5413.6772	2.561958
5413.8296	2.542736
5413.982	2.507904
5414.1344	2.49617
5414.2868	2.525594
5414.4392	2.551895
5414.5916	2.561321
5414.744	2.544156
