Profundidade[m]	Densidade_Aparente_Seca[g/cm3]
5178.0668	2.305811
5178.2192	2.304572
5178.3716	2.284361
5178.524	2.266629
5178.6764	2.238546
5178.8288	2.234146
5178.9812	2.240096
5179.1336	2.236997
5179.286	2.252038
5179.4384	2.246625
5179.5908	2.261128
5179.7432	2.32397
5179.8956	2.386104
5180.048	2.416322
5180.2004	2.42801
5180.3528	2.441611
5180.5052	2.453604
5180.6576	2.468299
5180.81	2.471337
5180.9624	2.468646
5181.1148	2.473517
5181.2672	2.490457
5181.4196	2.504573
5181.572	2.511377
5181.7244	2.503824
5181.8768	2.467933
5182.0292	2.332807
5182.1816	2.253331
5182.334	2.265501
5182.4864	2.350002
5182.6388	2.465201
5182.7912	2.438098
5182.9436	2.351612
5183.096	2.374608
5183.2484	2.446771
5183.4008	2.460816
5183.5532	2.444515
5183.7056	2.410521
5183.858	2.375043
5184.0104	2.354236
5184.1628	2.333125
5184.3152	2.318524
5184.4676	2.329126
5184.62	2.335212
5184.7724	2.31955
5184.9248	2.311368
5185.0772	2.310316
5185.2296	2.30965
5185.382	2.301737
5185.5344	2.299758
5185.6868	2.313109
5185.8392	2.351703
5185.9916	2.370897
5186.144	2.381065
5186.2964	2.374803
5186.4488	2.369282
5186.6012	2.361544
5186.7536	2.359513
5186.906	2.36291
5187.0584	2.356973
5187.2108	2.359478
5187.3632	2.37397
5187.5156	2.385273
5187.668	2.392252
5187.8204	2.396633
5187.9728	2.383668
5188.1252	2.381112
5188.2776	2.387981
5188.43	2.390219
5188.5824	2.378911
5188.7348	2.355124
5188.8872	2.332748
5189.0396	2.323528
5189.192	2.311068
5189.3444	2.308203
5189.4968	2.310022
5189.6492	2.328327
5189.8016	2.352709
5189.954	2.425237
5190.1064	2.439367
5190.2588	2.403026
5190.4112	2.383434
5190.5636	2.374189
5190.716	2.386615
5190.8684	2.397168
5191.0208	2.410906
5191.1732	2.4203
5191.3256	2.423961
5191.478	2.431399
5191.6304	2.439139
5191.7828	2.449319
5191.9352	2.444427
5192.0876	2.43508
5192.24	2.430395
5192.3924	2.42637
5192.5448	2.428601
5192.6972	2.426173
5192.8496	2.419156
5193.002	2.424789
5193.1544	2.439967
5193.3068	2.440383
5193.4592	2.428465
5193.6116	2.426058
5193.764	2.425551
5193.9164	2.414032
5194.0688	2.406665
5194.2212	2.409457
5194.3736	2.388364
5194.526	2.38966
5194.6784	2.393048
5194.8308	2.405081
5194.9832	2.391866
5195.1356	2.385187
5195.288	2.385554
5195.4404	2.386634
5195.5928	2.379719
5195.7452	2.365369
5195.8976	2.341251
5196.05	2.323361
5196.2024	2.308828
5196.3548	2.3255
5196.5072	2.341731
5196.6596	2.360985
5196.812	2.360293
5196.9644	2.351907
5197.1168	2.337744
5197.2692	2.340308
5197.4216	2.349487
5197.574	2.371313
5197.7264	2.376003
5197.8788	2.372617
5198.0312	2.356061
5198.1836	2.356501
5198.336	2.356145
5198.4884	2.346167
5198.6408	2.360191
5198.7932	2.375658
5198.9456	2.375907
5199.098	2.353978
5199.2504	2.359829
5199.4028	2.372746
5199.5552	2.37839
5199.7076	2.388532
5199.86	2.391687
5200.0124	2.379157
5200.1648	2.364229
5200.3172	2.355522
5200.4696	2.341968
5200.622	2.354988
5200.7744	2.379828
5200.9268	2.381536
5201.0792	2.382451
5201.2316	2.362017
5201.384	2.345099
5201.5364	2.339308
5201.6888	2.329024
5201.8412	2.323147
5201.9936	2.315125
5202.146	2.313256
5202.2984	2.317472
5202.4508	2.322636
5202.6032	2.356218
5202.7556	2.371587
5202.908	2.366491
5203.0604	2.361935
5203.2128	2.365517
5203.3652	2.386376
5203.5176	2.42173
5203.67	2.429634
5203.8224	2.426931
5203.9748	2.411307
5204.1272	2.393824
5204.2796	2.369765
5204.432	2.35518
5204.5844	2.350813
5204.7368	2.346177
5204.8892	2.35142
5205.0416	2.353968
5205.194	2.351204
5205.3464	2.361924
5205.4988	2.359189
5205.6512	2.354865
5205.8036	2.361372
5205.956	2.358951
5206.1084	2.351388
5206.2608	2.352503
5206.4132	2.371761
5206.5656	2.390092
5206.718	2.38322
5206.8704	2.37485
5207.0228	2.378253
5207.1752	2.393653
5207.3276	2.394858
5207.48	2.381148
5207.6324	2.379428
5207.7848	2.363026
5207.9372	2.356863
5208.0896	2.353154
5208.242	2.354355
5208.3944	2.355773
5208.5468	2.349395
5208.6992	2.346826
5208.8516	2.342769
5209.004	2.336484
5209.1564	2.335055
5209.3088	2.323781
5209.4612	2.32437
5209.6136	2.320802
5209.766	2.332151
5209.9184	2.332438
5210.0708	2.329328
5210.2232	2.339983
5210.3756	2.341712
5210.528	2.329188
5210.6804	2.320067
5210.8328	2.312991
5210.9852	2.317788
5211.1376	2.335437
5211.29	2.341801
5211.4424	2.350745
5211.5948	2.346211
5211.7472	2.349511
5211.8996	2.348864
5212.052	2.335726
5212.2044	2.318776
5212.3568	2.341243
5212.5092	2.360914
5212.6616	2.386864
5212.814	2.388867
5212.9664	2.363917
5213.1188	2.360503
5213.2712	2.362398
5213.4236	2.365602
5213.576	2.37299
5213.7284	2.369513
5213.8808	2.358623
5214.0332	2.346973
5214.1856	2.352453
5214.338	2.361149
5214.4904	2.37605
5214.6428	2.37586
5214.7952	2.37312
5214.9476	2.350529
5215.1	2.357509
5215.2524	2.354401
5215.4048	2.352351
5215.5572	2.370448
5215.7096	2.377517
5215.862	2.36553
5216.0144	2.374801
5216.1668	2.370788
5216.3192	2.372262
5216.4716	2.371853
5216.624	2.371888
5216.7764	2.396012
5216.9288	2.402392
5217.0812	2.415374
5217.2336	2.415735
5217.386	2.395241
5217.5384	2.372698
5217.6908	2.375671
5217.8432	2.381145
5217.9956	2.386774
5218.148	2.383217
5218.3004	2.376869
5218.4528	2.38312
5218.6052	2.382262
5218.7576	2.384982
5218.91	2.381484
5219.0624	2.370474
5219.2148	2.375238
5219.3672	2.377135
5219.5196	2.375228
5219.672	2.368664
5219.8244	2.373879
5219.9768	2.358791
5220.1292	2.338863
5220.2816	2.343152
5220.434	2.339617
5220.5864	2.344945
5220.7388	2.359453
5220.8912	2.367761
5221.0436	2.366183
5221.196	2.362163
5221.3484	2.363647
5221.5008	2.363828
5221.6532	2.369332
5221.8056	2.370092
5221.958	2.368902
5222.1104	2.371443
5222.2628	2.377274
5222.4152	2.380571
5222.5676	2.395334
5222.72	2.409898
5222.8724	2.411988
5223.0248	2.410658
5223.1772	2.400124
5223.3296	2.391411
5223.482	2.362292
5223.6344	2.337736
5223.7868	2.354036
5223.9392	2.386192
5224.0916	2.368967
5224.244	2.343744
5224.3964	2.354166
5224.5488	2.364834
5224.7012	2.36503
5224.8536	2.365324
5225.006	2.365002
5225.1584	2.3598
5225.3108	2.362366
5225.4632	2.36502
5225.6156	2.37248
5225.768	2.395869
5225.9204	2.404625
5226.0728	2.412759
5226.2252	2.410322
5226.3776	2.394283
5226.53	2.380803
5226.6824	2.366987
5226.8348	2.347531
5226.9872	2.317249
5227.1396	2.32605
5227.292	2.33703
5227.4444	2.382419
5227.5968	2.424131
5227.7492	2.401487
5227.9016	2.373832
5228.054	2.385093
5228.2064	2.392748
5228.3588	2.389329
5228.5112	2.381236
5228.6636	2.361542
5228.816	2.350551
5228.9684	2.354132
5229.1208	2.371748
5229.2732	2.371086
5229.4256	2.358754
5229.578	2.346219
5229.7304	2.357834
5229.8828	2.358006
5230.0352	2.360046
5230.1876	2.36653
5230.34	2.359851
5230.4924	2.353005
5230.6448	2.353009
5230.7972	2.370667
5230.9496	2.379398
5231.102	2.37807
5231.2544	2.377276
5231.4068	2.373683
5231.5592	2.368335
5231.7116	2.363396
5231.864	2.367376
5232.0164	2.367061
5232.1688	2.362386
5232.3212	2.360061
5232.4736	2.367877
5232.626	2.362743
5232.7784	2.347253
5232.9308	2.339408
5233.0832	2.336843
5233.2356	2.344504
5233.388	2.352196
5233.5404	2.342295
5233.6928	2.355024
5233.8452	2.364135
5233.9976	2.366561
5234.15	2.362572
5234.3024	2.350439
5234.4548	2.340782
5234.6072	2.339526
5234.7596	2.342772
5234.912	2.328854
5235.0644	2.308909
5235.2168	2.307268
5235.3692	2.303768
5235.5216	2.329975
5235.674	2.338234
5235.8264	2.320021
5235.9788	2.305887
5236.1312	2.302844
5236.2836	2.310389
5236.436	2.422486
5236.5884	2.552944
5236.7408	2.476353
5236.8932	2.359109
5237.0456	2.353274
5237.198	2.363555
5237.3504	2.340195
5237.5028	2.32711
5237.6552	2.335854
5237.8076	2.352314
5237.96	2.371496
5238.1124	2.399633
5238.2648	2.385648
5238.4172	2.363284
5238.5696	2.360015
5238.722	2.331371
5238.8744	2.325049
5239.0268	2.31161
5239.1792	2.303687
5239.3316	2.31586
5239.484	2.32037
5239.6364	2.327114
5239.7888	2.311092
5239.9412	2.300277
5240.0936	2.323429
5240.246	2.344405
5240.3984	2.351732
5240.5508	2.358131
5240.7032	2.353524
5240.8556	2.357972
5241.008	2.374134
5241.1604	2.377693
5241.3128	2.376604
5241.4652	2.368943
5241.6176	2.359336
5241.77	2.346926
5241.9224	2.326225
5242.0748	2.312163
5242.2272	2.343779
5242.3796	2.357814
5242.532	2.354723
5242.6844	2.341142
5242.8368	2.343603
5242.9892	2.343199
5243.1416	2.358611
5243.294	2.364429
5243.4464	2.368468
5243.5988	2.365714
5243.7512	2.359168
5243.9036	2.334439
5244.056	2.34124
5244.2084	2.335909
5244.3608	2.344539
5244.5132	2.371792
5244.6656	2.367618
5244.818	2.351195
5244.9704	2.360315
5245.1228	2.376772
5245.2752	2.359301
5245.4276	2.338496
5245.58	2.333977
5245.7324	2.335108
5245.8848	2.335968
5246.0372	2.333593
5246.1896	2.334406
5246.342	2.34041
5246.4944	2.341351
5246.6468	2.326802
5246.7992	2.327677
5246.9516	2.357492
5247.104	2.389312
5247.2564	2.403185
5247.4088	2.401379
5247.5612	2.384286
5247.7136	2.368916
5247.866	2.356599
5248.0184	2.365466
5248.1708	2.36494
5248.3232	2.348128
5248.4756	2.331336
5248.628	2.340962
5248.7804	2.34749
5248.9328	2.343375
5249.0852	2.341501
5249.2376	2.349616
5249.39	2.362931
5249.5424	2.348624
5249.6948	2.340075
5249.8472	2.32611
5249.9996	2.338918
5250.152	2.353728
5250.3044	2.342619
5250.4568	2.332777
5250.6092	2.342801
5250.7616	2.35526
5250.914	2.35406
5251.0664	2.341864
5251.2188	2.344928
5251.3712	2.349232
5251.5236	2.345093
5251.676	2.338245
5251.8284	2.350812
5251.9808	2.3589
5252.1332	2.357522
5252.2856	2.358261
5252.438	2.344792
5252.5904	2.339242
5252.7428	2.368543
5252.8952	2.369143
5253.0476	2.349773
5253.2	2.346925
5253.3524	2.32121
5253.5048	2.317852
5253.6572	2.356405
5253.8096	2.388614
5253.962	2.403362
5254.1144	2.393111
5254.2668	2.354275
5254.4192	2.32724
5254.5716	2.321904
5254.724	2.336752
5254.8764	2.352918
5255.0288	2.361461
5255.1812	2.35404
5255.3336	2.340297
5255.486	2.334928
5255.6384	2.33578
5255.7908	2.32837
5255.9432	2.335105
5256.0956	2.365698
5256.248	2.36349
5256.4004	2.341038
5256.5528	2.324005
5256.7052	2.304835
5256.8576	2.325145
5257.01	2.351953
5257.1624	2.358592
5257.3148	2.346456
5257.4672	2.333178
5257.6196	2.323525
5257.772	2.354665
5257.9244	2.358098
5258.0768	2.351151
5258.2292	2.372144
5258.3816	2.377213
5258.534	2.369217
5258.6864	2.34962
5258.8388	2.336814
5258.9912	2.33077
5259.1436	2.328959
5259.296	2.30308
5259.4484	2.315775
5259.6008	2.367721
5259.7532	2.396876
5259.9056	2.394017
5260.058	2.364792
5260.2104	2.329971
5260.3628	2.3296
5260.5152	2.338749
5260.6676	2.338586
5260.82	2.331257
5260.9724	2.341013
5261.1248	2.353787
5261.2772	2.366642
5261.4296	2.374351
5261.582	2.367035
5261.7344	2.358871
5261.8868	2.359466
5262.0392	2.367698
5262.1916	2.381085
5262.344	2.401748
5262.4964	2.413772
5262.6488	2.402022
5262.8012	2.376382
5262.9536	2.355386
5263.106	2.344426
5263.2584	2.354671
5263.4108	2.390065
5263.5632	2.399939
5263.7156	2.384123
5263.868	2.355651
5264.0204	2.340504
5264.1728	2.361514
5264.3252	2.39699
5264.4776	2.401007
5264.63	2.401805
5264.7824	2.405965
5264.9348	2.406991
5265.0872	2.395323
5265.2396	2.380448
5265.392	2.379311
5265.5444	2.400221
5265.6968	2.391008
5265.8492	2.389263
5266.0016	2.388777
5266.154	2.37535
5266.3064	2.367676
5266.4588	2.355602
5266.6112	2.347573
5266.7636	2.365142
5266.916	2.36958
5267.0684	2.353395
5267.2208	2.35439
5267.3732	2.355201
5267.5256	2.375938
5267.678	2.379787
5267.8304	2.388677
5267.9828	2.390532
5268.1352	2.394353
5268.2876	2.396756
5268.44	2.406069
5268.5924	2.409952
5268.7448	2.412913
5268.8972	2.399004
5269.0496	2.389209
5269.202	2.38118
5269.3544	2.393163
5269.5068	2.41165
5269.6592	2.414935
5269.8116	2.386033
5269.964	2.363428
5270.1164	2.35105
5270.2688	2.365725
5270.4212	2.368569
5270.5736	2.370614
5270.726	2.369281
5270.8784	2.360579
5271.0308	2.364879
5271.1832	2.369692
5271.3356	2.382437
5271.488	2.382246
5271.6404	2.368747
5271.7928	2.3672
5271.9452	2.364406
5272.0976	2.5835
5272.25	2.5935
5272.4024	2.5984
5272.5548	2.5948
5272.7072	2.5887
5272.8596	2.5777
5273.012	2.5683
5273.1644	2.5664
5273.3168	2.5665
5273.4692	2.567
5273.6216	2.568
5273.774	2.5664
5273.9264	2.5733
5283.9848	2.241214
5284.1372	2.260367
5284.2896	2.255944
5284.442	2.238407
5284.5944	2.220043
5284.7468	2.227088
5284.8992	2.233374
5285.0516	2.248521
5285.204	2.261514
5285.3564	2.262661
5285.5088	2.237336
5285.6612	2.199589
5285.8136	2.17488
5285.966	2.186489
5286.1184	2.184022
5286.2708	2.227356
5286.4232	2.215469
5286.5756	2.196381
5286.728	2.213112
5286.8804	2.233806
5287.0328	2.254636
5287.1852	2.280061
5287.3376	2.287821
5287.49	2.274149
5287.6424	2.296073
5287.7948	2.29049
5287.9472	2.282543
5288.0996	2.26614
5288.252	2.275144
5288.4044	2.252011
5288.5568	2.208488
5288.7092	2.200323
5288.8616	2.233829
5289.014	2.250038
5289.1664	2.25066
5289.3188	2.25618
5289.4712	2.237262
5289.6236	2.214265
5289.776	2.214439
5289.9284	2.243894
5290.0808	2.307935
5290.2332	2.325149
5290.3856	2.312131
5290.538	2.295958
5290.6904	2.311959
5290.8428	2.327362
5290.9952	2.32106
5291.1476	2.310019
5291.3	2.319179
5291.4524	2.337362
5291.6048	2.324179
5291.7572	2.315099
5291.9096	2.314338
5292.062	2.325177
5292.2144	2.349629
5292.3668	2.354038
5292.5192	2.35637
5292.6716	2.380384
5292.824	2.374903
5292.9764	2.351234
5293.1288	2.3328
5293.2812	2.335204
5293.4336	2.351166
5293.586	2.371194
5293.7384	2.358817
5293.8908	2.321881
5294.0432	2.32666
5294.1956	2.346996
5294.348	2.365233
5294.5004	2.378401
5294.6528	2.384198
5294.8052	2.361972
5294.9576	2.313367
5295.11	2.324184
5295.2624	2.344765
5295.4148	2.33245
5295.5672	2.311887
5295.7196	2.326622
5295.872	2.357716
5296.0244	2.371895
5296.1768	2.366198
5296.3292	2.364108
5296.4816	2.378485
5296.634	2.381096
5296.7864	2.388499
5296.9388	2.389033
5297.0912	2.366384
5297.2436	2.358074
5297.396	2.35281
5297.5484	2.319194
5297.7008	2.3161
5297.8532	2.309117
5298.0056	2.313276
5298.158	2.330576
5298.3104	2.352166
5298.4628	2.370145
5298.6152	2.341803
5298.7676	2.302217
5298.92	2.286899
5299.0724	2.266015
5299.2248	2.246295
5299.3772	2.230862
5299.5296	2.232251
5299.682	2.241427
5299.8344	2.253543
5299.9868	2.278816
5300.1392	2.284822
5300.2916	2.295928
5300.444	2.291314
5300.5964	2.233915
5300.7488	2.096492
5300.9012	2.125606
5301.0536	2.252321
5301.206	2.294693
5301.3584	2.314143
5301.5108	2.323026
5301.6632	2.345179
5301.8156	2.36288
5301.968	2.365712
5302.1204	2.367037
5302.2728	2.37138
5302.4252	2.386094
5302.5776	2.379649
5302.73	2.370028
5302.8824	2.360415
5303.0348	2.355063
5303.1872	2.373975
5303.3396	2.394243
5303.492	2.410619
5303.6444	2.425015
5303.7968	2.418602
5303.9492	2.39638
5304.1016	2.376752
5304.254	2.364873
5304.4064	2.340121
5304.5588	2.312465
5304.7112	2.320282
5304.8636	2.312265
5305.016	2.292438
5305.1684	2.250489
5305.3208	2.230925
5305.4732	2.274938
5305.6256	2.305252
5305.778	2.327372
5305.9304	2.341529
5306.0828	2.347045
5306.2352	2.352885
5306.3876	2.358376
5306.54	2.357171
5306.6924	2.362661
5306.8448	2.365792
5306.9972	2.366283
5307.1496	2.364954
5307.302	2.36824
5307.4544	2.355831
5307.6068	2.360224
5307.7592	2.370118
5307.9116	2.361511
5308.064	2.34009
5308.2164	2.319422
5308.3688	2.304702
5308.5212	2.336162
5308.6736	2.394045
5308.826	2.410131
5308.9784	2.387765
5309.1308	2.365498
5309.2832	2.344985
5309.4356	2.33951
5309.588	2.332597
5309.7404	2.337621
5309.8928	2.350318
5310.0452	2.363175
5310.1976	2.362446
5310.35	2.344545
5310.5024	2.365082
5310.6548	2.410427
5310.8072	2.425355
5310.9596	2.431549
5311.112	2.404051
5311.2644	2.368375
5311.4168	2.354161
5311.5692	2.325095
5311.7216	2.321663
5311.874	2.31682
5312.0264	2.32198
