Profundidade[m]	Fracao_de_Areia[%]
2907.002	70.23396235
2907.1544	68.83688088
2907.3068	68.21883192
2907.4592	68.70720828
2907.6116	69.58466069
2907.764	70.42487376
2907.9164	71.26318591
2908.0688	70.78533677
2908.2212	70.33495019
2908.3736	69.71214852
2908.526	70.33363367
2908.6784	70.06859979
2908.8308	70.44139639
2908.9832	72.06662266
2909.1356	69.54321552
2909.288	69.44028695
2909.4404	69.65652535
2909.5928	68.5934287
2909.7452	68.94028164
2909.8976	67.90461263
2910.05	67.73480474
2910.2024	69.52138558
2910.3548	69.97368123
2910.5072	70.30503904
2910.6596	70.48793508
2910.812	69.25668986
2910.9644	69.47550694
2911.1168	70.55139689
2911.2692	72.76309165
2911.4216	73.65974866
2911.574	71.94474468
2911.7264	69.80521189
2911.8788	69.90911722
2912.0312	71.07872045
2912.1836	71.71490328
2912.336	72.10658305
2912.4884	69.65443252
2912.6408	71.57874676
2912.7932	73.35893895
2912.9456	73.19392704
2913.098	70.6586657
2913.2504	69.67963672
2913.4028	69.54874322
2913.5552	69.84903374
2913.7076	69.45775639
2913.86	68.60349957
2914.0124	67.26449407
2914.1648	65.1511739
2914.3172	62.72529726
2914.4696	63.40041121
2914.622	65.36087543
2914.7744	66.9068405
2914.9268	68.11290761
2915.0792	69.07540515
2915.2316	69.79154647
2915.384	67.89226837
2915.5364	69.96204223
2915.6888	72.35829234
2915.8412	73.1220355
2915.9936	71.65454138
2916.146	71.07407807
2916.2984	72.01969288
2916.4508	70.45828971
2916.6032	69.0228348
2916.7556	70.41726802
2916.908	70.97994338
2917.0604	70.14336778
2917.2128	71.50617016
2917.3652	74.40199807
2917.5176	74.9253699
2917.67	73.85736044
2917.8224	72.10120189
2917.9748	70.70344306
2918.1272	75.6844108
2918.2796	78.38384644
2918.432	77.98567421
2918.5844	77.16488287
2918.7368	77.0451936
2918.8892	77.52398387
2919.0416	77.82448009
2919.194	77.45262406
2919.3464	77.66394095
2919.4988	80.65639855
2919.6512	80.73179856
2919.8036	80.43122495
2919.956	80.58586434
2920.1084	82.19760651
2920.2608	82.89990368
2920.4132	82.93913138
2920.5656	82.40855449
2920.718	81.44686667
2920.8704	80.8461928
2921.0228	81.12124536
2921.1752	80.63300197
2921.3276	79.81802293
2921.48	80.15528388
2921.6324	80.09393934
2921.7848	80.2880045
2921.9372	83.03554147
2922.0896	84.81779738
2922.242	85.45133033
2922.3944	86.99713845
2922.5468	87.49675194
2922.6992	86.55832803
2922.8516	85.57918652
2923.004	85.77003531
2923.1564	85.91085971
2923.3088	86.32987237
2923.4612	86.85159478
2923.6136	85.81939267
2923.766	84.6033055
2923.9184	83.61410792
2924.0708	82.89790064
2924.2232	84.31603911
2924.3756	86.14435714
2924.528	87.07823938
2924.6804	87.19336731
2924.8328	87.55979914
2924.9852	85.77755736
2925.1376	85.13907843
2925.29	85.75491766
2925.4424	85.81417414
2925.5948	83.53301273
2925.7472	85.63078461
2925.8996	88.07060484
2926.052	87.25720707
2926.2044	85.99797866
2926.3568	86.81904063
2926.5092	89.26914107
2926.6616	89.03802755
2926.814	88.51312211
2926.9664	89.0460815
2927.1188	90.03555517
2927.2712	90.59887075
2927.4236	91.27213439
2927.576	90.59428896
2927.7284	89.77925763
2927.8808	89.88044006
2928.0332	91.75217056
2928.1856	92.36818949
2928.338	93.24586298
2928.4904	92.84503881
2928.6428	92.01092644
2928.7952	91.1307781
2928.9476	92.63961224
2929.1	96.26441003
2929.2524	97.07005953
2929.4048	97.41661431
2929.5572	97.28060962
2929.7096	96.8971169
2929.862	95.48538884
2930.0144	92.97701384
2930.1668	92.5264041
2930.3192	92.56639086
2930.4716	91.48782104
2930.624	90.18204154
2930.7764	90.38386351
2930.9288	92.59730418
2931.0812	94.61998902
2931.2336	94.92129432
2931.386	95.28302946
2931.5384	96.36345268
2931.6908	94.71333572
2931.8432	94.27944284
2931.9956	93.88647718
2932.148	94.12725339
2932.3004	92.53304232
2932.4528	91.74034332
2932.6052	93.73980632
2932.7576	94.53291191
2932.91	93.5965425
2933.0624	93.82683284
2933.2148	94.80619535
