Profundidade[m]	Taxa_de_sedimentacao[cm/ka]
5175.0188	3.829241941
5175.1712	3.829338158
5175.3236	3.829241941
5175.476	3.829241941
5175.6284	3.829338158
5175.7808	3.829241941
5175.9332	3.829241941
5176.0856	3.829241941
5176.238	3.829338158
5176.3904	3.829241941
5176.5428	3.829241941
5176.6952	3.829241941
5176.8476	3.829338158
5177	3.829241941
5177.1524	3.829241941
5177.3048	3.829338158
5177.4572	3.829241941
5177.6096	3.829241941
5177.762	3.829241941
5177.9144	3.829338158
5178.0668	3.829241941
5178.2192	3.829241941
5178.3716	3.829241941
5178.524	3.829338158
5178.6764	3.829241941
5178.8288	3.829241941
5178.9812	3.829338158
5179.1336	3.829241941
5179.286	3.829241941
5179.4384	3.829241941
5179.5908	3.829338158
5179.7432	3.829241941
5179.8956	3.829241941
5180.048	3.829241941
5180.2004	3.829338158
5180.3528	3.829241941
5180.5052	3.829241941
5180.6576	3.829338158
5180.81	3.829241941
5180.9624	3.829241941
5181.1148	3.829241941
5181.2672	3.829338158
5181.4196	3.829241941
5181.572	3.829241941
5181.7244	3.829338158
5181.8768	3.829241941
5182.0292	3.829241941
5182.1816	3.829241941
5182.334	3.829338158
5182.4864	3.829241941
5182.6388	3.829241941
5182.7912	3.829241941
5182.9436	3.829338158
5183.096	3.829241941
5183.2484	3.829241941
5183.4008	3.829338158
5183.5532	3.829241941
5183.7056	3.829241941
5183.858	3.829241941
5184.0104	3.829338158
5184.1628	3.829241941
5184.3152	3.829241941
5184.4676	3.829241941
5184.62	3.829338158
5184.7724	3.829241941
5184.9248	3.829241941
5185.0772	3.829338158
5185.2296	3.829241941
5185.382	3.829241941
5185.5344	3.829241941
5185.6868	3.829338158
5185.8392	3.829241941
5185.9916	3.829241941
5186.144	3.829241941
5186.2964	3.829338158
5186.4488	3.829241941
5186.6012	3.829241941
5186.7536	3.829338158
5186.906	3.829241941
5187.0584	3.829241941
5187.2108	3.829241941
5187.3632	3.829338158
5187.5156	3.829241941
5187.668	3.829241941
5187.8204	3.829241941
5187.9728	3.829338158
5188.1252	3.829241941
5188.2776	3.829241941
5188.43	3.829338158
5188.5824	3.829241941
5188.7348	3.829241941
5188.8872	3.829241941
5189.0396	3.829338158
5189.192	3.829241941
5189.3444	3.829241941
5189.4968	3.829241941
5189.6492	3.829338158
5189.8016	3.829241941
5189.954	3.829241941
5190.1064	3.829338158
5190.2588	3.829241941
5190.4112	3.829241941
5190.5636	3.829241941
5190.716	3.829338158
5190.8684	3.829241941
5191.0208	3.829241941
5191.1732	3.829241941
5191.3256	3.829338158
5191.478	3.829241941
5191.6304	3.829241941
5191.7828	3.829338158
5191.9352	3.829241941
5192.0876	3.829241941
5192.24	3.829241941
5192.3924	3.829338158
5192.5448	3.829241941
5192.6972	3.829241941
5192.8496	3.829338158
5193.002	3.829241941
5193.1544	3.829241941
5193.3068	3.829241941
5193.4592	3.829338158
5193.6116	3.829241941
5193.764	3.829241941
5193.9164	3.829241941
5194.0688	3.829338158
5194.2212	3.829241941
5194.3736	3.829241941
5194.526	3.829338158
5194.6784	3.829241941
5194.8308	3.829241941
5194.9832	3.829241941
5195.1356	3.829338158
5195.288	3.829241941
5195.4404	3.829241941
5195.5928	3.829241941
5195.7452	3.829338158
5195.8976	3.829241941
5196.05	3.829241941
5196.2024	3.829338158
5196.3548	3.829241941
5196.5072	3.829241941
5196.6596	3.829241941
5196.812	3.829338158
5196.9644	3.829241941
