Profundidade[m]	Idade[Ma]
5169.38	85.6576943
5169.5324	85.6616741
5169.6848	85.665654
5169.8372	85.6696339
5169.9896	85.6736138
5170.142	85.6775936
5170.2944	85.6815735
5170.4468	85.6855534
5170.5992	85.6895332
5170.7516	85.6935131
5170.904	85.697493
5171.0564	85.7014729
5171.2088	85.7054527
5171.3612	85.7094326
5171.5136	85.7134125
5171.666	85.7173924
5171.8184	85.7213722
5171.9708	85.7253521
5172.1232	85.729332
5172.2756	85.7333118
5172.428	85.7372917
5172.5804	85.7412716
5172.7328	85.7452515
5172.8852	85.7492313
5173.0376	85.7532112
5173.19	85.7571911
5173.3424	85.761171
5173.4948	85.7651508
5173.6472	85.7691307
5173.7996	85.7731106
5173.952	85.7770904
5174.1044	85.7810703
5174.2568	85.7850502
5174.4092	85.7890301
5174.5616	85.7930099
5174.714	85.7969898
5174.8664	85.8009697
5175.0188	85.8049496
5175.1712	85.8089294
5175.3236	85.8129093
5175.476	85.8168892
5175.6284	85.820869
5175.7808	85.8248489
5175.9332	85.8288288
5176.0856	85.8328087
5176.238	85.8367885
5176.3904	85.8407684
5176.5428	85.8447483
5176.6952	85.8487282
5176.8476	85.852708
5177	85.8566879
5177.1524	85.8606678
5177.3048	85.8646476
5177.4572	85.8686275
5177.6096	85.8726074
5177.762	85.8765873
5177.9144	85.8805671
5178.0668	85.884547
5178.2192	85.8885269
5178.3716	85.8925068
5178.524	85.8964866
5178.6764	85.9004665
5178.8288	85.9044464
5178.9812	85.9084262
5179.1336	85.9124061
5179.286	85.916386
5179.4384	85.9203659
5179.5908	85.9243457
5179.7432	85.9283256
5179.8956	85.9323055
5180.048	85.9362854
5180.2004	85.9402652
5180.3528	85.9442451
5180.5052	85.948225
5180.6576	85.9522048
5180.81	85.9561847
5180.9624	85.9601646
5181.1148	85.9641445
5181.2672	85.9681243
5181.4196	85.9721042
5181.572	85.9760841
5181.7244	85.9800639
5181.8768	85.9840438
5182.0292	85.9880237
5182.1816	85.9920036
5182.334	85.9959834
5182.4864	85.9999633
5182.6388	86.0039432
5182.7912	86.0079231
5182.9436	86.0119029
5183.096	86.0158828
5183.2484	86.0198627
5183.4008	86.0238425
5183.5532	86.0278224
5183.7056	86.0318023
5183.858	86.0357822
5184.0104	86.039762
5184.1628	86.0437419
5184.3152	86.0477218
5184.4676	86.0517017
5184.62	86.0556815
5184.7724	86.0596614
5184.9248	86.0636413
5185.0772	86.0676211
5185.2296	86.071601
5185.382	86.0755809
5185.5344	86.0795608
5185.6868	86.0835406
5185.8392	86.0875205
5185.9916	86.0915004
5186.144	86.0954803
5186.2964	86.0994601
5186.4488	86.10344
5186.6012	86.1074199
5186.7536	86.1113997
5186.906	86.1153796
5187.0584	86.1193595
5187.2108	86.1233394
5187.3632	86.1273192
5187.5156	86.1312991
5187.668	86.135279
5187.8204	86.1392589
5187.9728	86.1432387
5188.1252	86.1472186
5188.2776	86.1511985
5188.43	86.1551783
5188.5824	86.1591582
5188.7348	86.1631381
5188.8872	86.167118
5189.0396	86.1710978
5189.192	86.1750777
5189.3444	86.1790576
5189.4968	86.1830375
5189.6492	86.1870173
5189.8016	86.1909972
5189.954	86.1949771
5190.1064	86.1989569
5190.2588	86.2029368
5190.4112	86.2069167
5190.5636	86.2108966
5190.716	86.2148764
5190.8684	86.2188563
5191.0208	86.2228362
5191.1732	86.2268161
5191.3256	86.2307959
5191.478	86.2347758
5191.6304	86.2387557
5191.7828	86.2427355
5191.9352	86.2467154
5192.0876	86.2506953
5192.24	86.2546752
5192.3924	86.258655
5192.5448	86.2626349
5192.6972	86.2666148
5192.8496	86.2705946
5193.002	86.2745745
5193.1544	86.2785544
5193.3068	86.2825343
5193.4592	86.2865141
5193.6116	86.290494
5193.764	86.2944739
5193.9164	86.2984538
5194.0688	86.3024336
5194.2212	86.3064135
5194.3736	86.3103934
5194.526	86.3143732
5194.6784	86.3183531
5194.8308	86.322333
5194.9832	86.3263129
5195.1356	86.3302927
5195.288	86.3342726
5195.4404	86.3382525
5195.5928	86.3422324
5195.7452	86.3462122
5195.8976	86.3501921
5196.05	86.354172
5196.2024	86.3581518
5196.3548	86.3621317
5196.5072	86.3661116
5196.6596	86.3700915
5196.812	86.3740713
5196.9644	86.3780512
5197.1168	86.3820311
5197.2692	86.386011
5197.4216	86.3899908
5197.574	86.3939707
5197.7264	86.3979506
5197.8788	86.4019304
5198.0312	86.4059103
5198.1836	86.4098902
5198.336	86.4138701
5198.4884	86.4178499
5198.6408	86.4218298
5198.7932	86.4258097
5198.9456	86.4297896
5199.098	86.4337694
5199.2504	86.4377493
5199.4028	86.4417292
5199.5552	86.445709
5199.7076	86.4496889
5199.86	86.4536688
5200.0124	86.4576487
5200.1648	86.4616285
5200.3172	86.4656084
5200.4696	86.4695883
5200.622	86.4735682
5200.7744	86.477548
5200.9268	86.4815279
5201.0792	86.4855078
5201.2316	86.4894876
5201.384	86.4934675
5201.5364	86.4974474
5201.6888	86.5014273
5201.8412	86.5054071
5201.9936	86.509387
5202.146	86.5133669
5202.2984	86.5173468
5202.4508	86.5213266
5202.6032	86.5253065
5202.7556	86.5292864
5202.908	86.5332662
5203.0604	86.5372461
5203.2128	86.541226
5203.3652	86.5452059
5203.5176	86.5491857
5203.67	86.5531656
5203.8224	86.5571455
5203.9748	86.5611254
5204.1272	86.5651052
5204.2796	86.5690851
5204.432	86.573065
5204.5844	86.5770448
5204.7368	86.5810247
5204.8892	86.5850046
5205.0416	86.5889845
5205.194	86.5929643
5205.3464	86.5969442
5205.4988	86.6009241
5205.6512	86.6049039
5205.8036	86.6088838
5205.956	86.6128637
5206.1084	86.6168436
5206.2608	86.6208234
5206.4132	86.6248033
5206.5656	86.6287832
5206.718	86.6327631
5206.8704	86.6367429
5207.0228	86.6407228
5207.1752	86.6447027
5207.3276	86.6486825
5207.48	86.6526624
5207.6324	86.6566423
5207.7848	86.6606222
5207.9372	86.664602
5208.0896	86.6685819
5208.242	86.6725618
5208.3944	86.6765417
5208.5468	86.6805215
5208.6992	86.6845014
5208.8516	86.6884813
5209.004	86.6924611
5209.1564	86.696441
5209.3088	86.7004209
5209.4612	86.7044008
5209.6136	86.7083806
5209.766	86.7123605
5209.9184	86.7163404
5210.0708	86.7203203
5210.2232	86.7243001
5210.3756	86.72828
5210.528	86.7322599
5210.6804	86.7362397
5210.8328	86.7402196
5210.9852	86.7441995
5211.1376	86.7481794
5211.29	86.7521592
5211.4424	86.7561391
5211.5948	86.760119
5211.7472	86.7640989
5211.8996	86.7680787
5212.052	86.7720586
5212.2044	86.7760385
5212.3568	86.7800183
5212.5092	86.7839982
5212.6616	86.7879781
5212.814	86.791958
5212.9664	86.7959378
5213.1188	86.7999177
5213.2712	86.8038976
5213.4236	86.8078775
5213.576	86.8118573
5213.7284	86.8158372
5213.8808	86.8198171
5214.0332	86.8237969
5214.1856	86.8277768
5214.338	86.8317567
5214.4904	86.8357366
5214.6428	86.8397164
5214.7952	86.8436963
5214.9476	86.8476762
5215.1	86.8516561
5215.2524	86.8556359
5215.4048	86.8596158
5215.5572	86.8635957
5215.7096	86.8675755
5215.862	86.8715554
5216.0144	86.8755353
5216.1668	86.8795152
5216.3192	86.883495
5216.4716	86.8874749
5216.624	86.8914548
5216.7764	86.8954346
5216.9288	86.8994145
5217.0812	86.9033944
5217.2336	86.9073743
5217.386	86.9113541
5217.5384	86.915334
5217.6908	86.9193139
5217.8432	86.9232938
5217.9956	86.9272736
5218.148	86.9312535
5218.3004	86.9352334
5218.4528	86.9392132
5218.6052	86.9431931
5218.7576	86.947173
5218.91	86.9511529
5219.0624	86.9551327
5219.2148	86.9591126
5219.3672	86.9630925
5219.5196	86.9670724
5219.672	86.9710522
5219.8244	86.9750321
5219.9768	86.979012
5220.1292	86.9829918
5220.2816	86.9869717
5220.434	86.9909516
5220.5864	86.9949315
5220.7388	86.9989113
5220.8912	87.0028912
5221.0436	87.0068711
5221.196	87.010851
5221.3484	87.0148308
5221.5008	87.0188107
5221.6532	87.0227906
5221.8056	87.0267704
5221.958	87.0307503
5222.1104	87.0347302
5222.2628	87.0387101
5222.4152	87.0426899
5222.5676	87.0466698
5222.72	87.0506497
5222.8724	87.0546296
5223.0248	87.0586094
5223.1772	87.0625893
5223.3296	87.0665692
5223.482	87.070549
5223.6344	87.0745289
5223.7868	87.0785088
5223.9392	87.0824887
5224.0916	87.0864685
5224.244	87.0904484
5224.3964	87.0944283
5224.5488	87.0984082
5224.7012	87.102388
5224.8536	87.1063679
5225.006	87.1103478
5225.1584	87.1143276
5225.3108	87.1183075
5225.4632	87.1222874
5225.6156	87.1262673
5225.768	87.1302471
5225.9204	87.134227
5226.0728	87.1382069
5226.2252	87.1421868
5226.3776	87.1461666
5226.53	87.1501465
5226.6824	87.1541264
5226.8348	87.1581062
5226.9872	87.1620861
5227.1396	87.166066
5227.292	87.1700459
5227.4444	87.1740257
5227.5968	87.1780056
5227.7492	87.1819855
5227.9016	87.1859654
5228.054	87.1899452
5228.2064	87.1939251
5228.3588	87.197905
5228.5112	87.2018848
5228.6636	87.2058647
5228.816	87.2098446
5228.9684	87.2138245
5229.1208	87.2178043
5229.2732	87.2217842
5229.4256	87.2257641
5229.578	87.2297439
5229.7304	87.2337238
5229.8828	87.2377037
5230.0352	87.2416836
5230.1876	87.2456634
5230.34	87.2496433
5230.4924	87.2536232
5230.6448	87.2576031
5230.7972	87.2615829
5230.9496	87.2655628
5231.102	87.2695427
5231.2544	87.2735225
5231.4068	87.2775024
5231.5592	87.2814823
5231.7116	87.2854622
5231.864	87.289442
5232.0164	87.2934219
5232.1688	87.2974018
5232.3212	87.3013817
5232.4736	87.3053615
5232.626	87.3093414
5232.7784	87.3133213
5232.9308	87.3173011
5233.0832	87.321281
5233.2356	87.3252609
5233.388	87.3292408
5233.5404	87.3332206
5233.6928	87.3372005
5233.8452	87.3411804
5233.9976	87.3451603
5234.15	87.3491401
5234.3024	87.35312
5234.4548	87.3570999
5234.6072	87.3610797
5234.7596	87.3650596
5234.912	87.3690395
5235.0644	87.3730194
5235.2168	87.3769992
5235.3692	87.3809791
